범죄대분류,범죄중분류,남자_정상,남자_정신이상,남자_정신박약,남자_기타정신장애,남자_주취,남자_미상,여자_정상,여자_정신이상,여자_정신박약,여자_기타정신장애,여자_주취,여자_월경시이상,미상
강력범죄,살인기수,112,10,0,8,63,63,44,0,1,2,9,0,29
강력범죄,살인미수등,151,11,3,6,149,56,30,4,0,5,13,0,26
강력범죄,강도,777,9,1,20,110,109,124,1,1,5,7,0,38
강력범죄,강간,2369,6,11,15,1448,2161,52,0,2,0,9,0,40
강력범죄,유사강간,404,2,2,5,260,218,21,0,0,0,9,0,13
강력범죄,강제추행,6608,72,94,136,5630,3187,201,5,1,12,150,0,286
강력범죄,기타 강간 강제추행등,189,0,2,1,89,54,6,0,0,1,1,0,6
강력범죄,방화,406,39,13,51,370,128,73,19,3,17,57,0,20
절도범죄,절도범죄,57862,282,315,763,6098,7345,20924,220,91,594,993,70,2868
폭력범죄,상해,16832,127,29,197,15741,3222,4143,70,12,85,1997,1,1096
폭력범죄,폭행,43454,272,64,416,35943,65277,11911,150,28,203,5668,5,15057
폭력범죄,체포 감금,734,1,0,2,133,546,99,1,0,0,6,0,173
폭력범죄,협박,8416,109,20,155,4944,5996,1248,32,3,45,368,0,1171
폭력범죄,약취 유인,108,1,4,3,18,73,41,0,0,2,3,0,43
폭력범죄,폭력행위등,9261,5,1,8,6941,3766,2947,3,1,5,1206,0,1198
폭력범죄,공갈,1863,3,0,6,115,860,308,3,1,2,7,0,266
폭력범죄,손괴,12771,197,50,269,13589,6007,2859,116,13,163,1293,1,1388
지능범죄,직무유기,62,0,0,0,0,619,15,0,0,0,0,0,251
지능범죄,직권남용,109,1,0,0,0,674,21,0,0,0,0,0,216
지능범죄,증수뢰,458,0,0,0,0,232,65,0,0,0,0,0,52
지능범죄,통화,27,0,0,0,0,45,1,0,0,0,0,0,13
지능범죄,문서 인장,4929,0,1,3,25,6320,1931,1,1,1,26,0,2227
지능범죄,유가증권인지,35,0,0,0,0,60,8,0,0,0,0,0,14
지능범죄,사기,97928,84,27,137,5831,85674,26075,64,16,70,314,0,28789
지능범죄,횡령,15197,23,63,105,645,11072,4791,18,23,55,103,0,3835
지능범죄,배임,1858,1,0,0,1,4814,411,0,0,0,0,0,1239
풍속범죄,성풍속범죄,9679,65,58,120,1299,1736,387,5,6,6,41,0,144
풍속범죄,도박범죄,15941,5,0,4,962,1209,2445,0,0,0,47,0,512
